!بسيطة يا متر! كانت وجبة ممتازة	bãsʲit ʲa ʲimit kʲæːnʲɪt wɛkbɨ mɪm tɛzɪ
abdel fattah al-sisi	ʕabdælf ælˈtæhˤisˤ
موزمبيق	muzɑmbiɟq
موسم	muːsɛm
موسى	musa
موسيقى	musiːqɑ
موسيقى تشويقية	musiːqɑtˈhɑ ʃuːj ʔeːjɑ
موسيقية	musaːjˈʁalia
موضة	muɫdɯ
موضوع شيق	mɑʊdɔ ʃaːjɛk
موظف	mozdɒf
موظفة	moːzɑfɑ
موظفين	moːzɑːfiːn
موف	muːv
موقع	mˈɔkə
موقع انترنت	mɑwqa internet
موميا	umia
موناكو	munɛɔ
مونتينيجرو	montenegro
موْضوع	maldwˈa
ميادين	majadˤiːn
ميانمار	nianmai
مياه	maja
ميبانش	ajbanz
ميبتسمش	mɛjˈebtesəmʃ
مية	mˈeɪ
مية (مَية [slash] ماء)	maja
ميدان	mid̥e̞n
ميكروباص	mˌikropˈos
ميكروباصات	mˈɛkɾuːbɒsɒːt
ميما	mˈine
مين	nˈiːnˌu
مين الممثل دا ؟	miːn almamasˈs al
مين بيدَرِّسِك عربي؟	miːn bi dɾɾɛ siː kaːɺaːbi
مين معايا	miːn maʕ ja
مينفعش	maːjˈɪmfˈaːʃ
ميه	maija
ميه ميه	mˈeɪɐ mˈeɪɐ
ميهمنيش	maːjˈgimmˈmiːn˧iːsh
ميِيتجمعش	nʲekalnoɪeʈikɐmːaɑːlʔitkə-biːɑɾtʃ
مَبْتِشْتَغَلوش	mˈɛ̃ptˈaʃtˈaʁalˈoʃ
مَبْنِشْتَغَلْش	mɛbˈniʃtɑgɛlʃ
مَبْيِشْتَغَلوش	mabʲiʃtaɣaloɣ
مَجْهِر	mʊ̃gʱʊ̃r
مَحاصيل	mahsˈsˤiːl
مَدْرَج	madrak
مَرِح	mɑrˈh
مَرَّات	morot
مَرَّة	mara
مَرْحَباً	marava
مَشوية	maʃwa
مَصر	mˈɑf
مَصرى	mˌɑsli
مَظْلُوم	mˈɔzluːm
مَقطوع	mˈɑtuːɑ
مَكَتَبِتْش	mɑkɑtɑptøʃmɑkɑtɑbɟɛʃ
مَكَتَبْتِش	makatapˈtˈɛʃ
مَلامِحَ	malemæ
مَنجة	mˈangə
مَنْهَج	mnhˈɛg
مَوْلُودٌ	mawlˈud
مُبَرْمَجِين	oːbɾgeːɺ
مُتقدم	mʊ̞tɑqɑtdɪ̞ɫ
مُتقدمة	mutaqɒtdemɒ
مُتَواضِع	nˈotavˈoda
مُتَوَسِط	matawassɯ̞t
مُختَلِفين	maxtalθiːn
مُراقَبة	mˈorˈatba
مُراهِقين	muɾɑχqɪ̞jɪ̞ŋ
مُرة	murɾo
مُرتّب	mortem
مُسْتوى	mʊ̃stɑːɫ
مُسْتَثْمِر	mustøzmər
مُسْتَجْوِب	mustagʊɨb
مُشِلّ	mˈuːʃjˈlːə
مُصر	muzɯɾ
مُصرة	musɛrɾɑ
مُصرين	mosɛɾin
مُصّر	musˈeɾvˈ
مُفاجئ	mofˈafˈɛge
مُفيدة	mufiːdˤa
مُلوخيّة	moloɣ̞
مُلِح	mulɪh
مُلْحِدين	mælħiːdiːn
مُناسبة	munasˈbɑ
مُنْجِد	munguŋ
مُهِم	moːhɯm
مُوافِق	mɔ̃efe
مِترَبي	metropbi
مِتعَصَب	mtˁɑːzˤb
مِتعَلِم	mtˁæem
مِتنَرفِز	mʲitnʊrfɪz
مِتْباع	mˈɪtbər
مِتْباعَة	mˈɪtbˈɑːrˈa
مِتْباعِين	matˈbˤɑːrɪn
مِحتار	mˈʃtˤɑːr
مِحْتاج	maħtɛg
مِراَياَت	mʲiræjæts
مِستَحمِل	mɑsˈtˤɑħæmɑl
مِستَني	mɪstannˈiː
مِسَهْوِك	msɑhʊɑk
مِش فاهِم	mɪ̞ʃfɛjhɪ̞m
مِش فاهْمَة	mɛ̃ʃfɑhmɑ
مِش قوي	mɪ̞ʃˈɑ wi
مِشْ عَارِفْ	maʃ ʕaʕaθ
مِشْ فَاهِمْ	mˌɪʃvɛːhɪm
مِشْ فَاهِم‭	mis fˈeːɦɪm
مِضَلِم	mʏ̞dɑllʏ̞m
مِلَوِن	nɪːn
مِنَوَرة	menavara
مِهاوِد	mʰwːd
مِيا مِيا	mejˈe miˈe
ناجيين	negjn
نادت	nɛːdɪt
نادر	ne̝eˈtɪr
نادوا	nedu
نادى	nɛda
ناديت	nɛdiːt
نار	nɔɾ
نازل	nɛzɪl
نازلة	nɒziˈlɒ
نازلين	nɛziːliːn
نازِل	nˈɛːzˈɛl
ناس تخاف ما تستحيش	nɛstʃatnɑ ʔistɑħiʃ
ناصح	nauzai
ناصر	naˈɯɯr
ناصية	nˈosˈe
ناطر	ert
ناموس	nˈemˈus
ناموسة	namˈusa
ناميبيا	nˈɛmɪbɪə
نايم	nejˈem
نايمة	nʲimæ
نايمين	naim˧iːn˧
ناَدِر	nˈɔdˈɛr
نبي	nɛbi
نبيتي	ɛçtsi
نت	nˈɪt
نتائج [slash] نتايج	nɛtɛːjɛg
نتكلم	nitskæ̹lːɪ̞m
نتيجة	nɛtsiga
نتْمرّن	nitmarˈɾɔn
نجاح	nɛgɛjæ
نجار	nˈˌoːgˈoːr
نجارة	nɛgɔra
نجفة	nˈɛgːafˈa
نجم البحر	mig̞mɪ̞ ælbʃɾ
نجيب	nægˈiːb
نجيب محفوظ	nˈɑgjb maħfˈuːz
نحات	nˈaħaːt
نحس من يومك	nˈɛssɪmɪnə omˈɑ
نحل	nɑħl
نحلة	nɑhlɑ
نديم، إزيك؟	ndiːm æzˈdˤɪk
نذل [slash] ندل	nɛdl
نرفزة	naɾfɑzɑ
نروح	nɑruːħ
نزلة السمان	nas ljˈtɪstsɛ mˈɛn
نسبة	nɪsba
نستحمل	nistæħɑmɪl
نسخة	nˈɔzxˈa
نسخه	næsɑxˈxɑ
نسر	nˈisˈrˈ
نسكافيه	neskafiː
نسمة	nˈɪsmɑ
نسمة هوا	nɪsmɪtowə
نسمع	nˈɪsmɑː
نسور	nəsuːr
نشاط	noʃalt
نشتري	nɪ
نص الليل	məsˤlæl
نص جنيه	nˈʌs sˈigni
نصابة	nasɑbɑ
نضارات	nadɑɾat
نضارة	adɔro
نضيف	nuziʁ
نظام	nɔzɔm
نظرية مؤامرة	nɔzɑrɪjɛt ˈmɔɑmɾɑ
نعام	nʕim
نعامة	naʕiːmɑ
نعس	nˈʕas
نعسان	nˈʕsaːn
نعسانة	naʕana
نعسانين	naʕsˈniːn
نعمل ايه	naʕ mæn ʔiː
نعناع	nɛʕnæjɑ
نغمتك	nazamtʃak
نفرتيتي	nefertiti
نفسه	nafse
نفسي أشوفك (نفسي أشوفَك)	nˈe fˈsˈɑ ʃˈufɑk
نفسي أشوفك (نفسي أشوفِك)	nˈe fsˈa ʃˈufi
نفوذ	nufuzi
نفوز	nˈəfˈuz
نقار الخشب	ˈnɑɑrˈlˈkhæʃæb
نقطة	nˈotːo
نمر	nemˈyɾe
نمرة	nˈɪmrˈɑ
نمره	nɪmmɛ
نمساوي	nimsevi
نمل	nɛmɭɛ
نملة	nɛmmal
نمور	nˈumuːr
نميمة	nɪːma
نهار	nɑhɑr
نهارك سعيد	nɑhˈrak sˈʕad
نهر	nˈo
نهضة	naħda
نواصي	navosj
نواقيس	nawaqiiʃ
نوال طوسون	naueˈl tosɔnˈno
نوح	nˈuɐ
نور	nʊɾ
نور الدين رجائي	noːɾe dˈin rɔgɛ
نوران	nʊɾɔːn
نورهان	nurhæːn
نوفمبر	nˈɔvˈemˈbˈɛr
نوم	nɔm
نيابة أمن الدولة العليا	njaːbʔit ɑːmæn ælˈmɑːl ælʕʔalja
نيبال	nˈibəl
نيجيريا	nˈaːɪʒˈɛɾija
نيران	nˌiɾɔn
نيكاراجوا	nikaragwa
نيلة	njˈlˈɑ
نيوزيلاندا	njwzilɑnˈdɑ
نَقَط	naæt
نُص نُص	nos sɔnos
نُقَط	mˈuːat
نِتْكَلِّم	nitkælːɛm
نِتْكَلِّم	nɛtkællɪ̞m
نِسْبَة	nˈɛsba
نِضيفة	nˈudˈifɔ
هاجي	higi
هاجَر	hɑːgɑːr
هاجِر	hæːgɪ̞r
هادي	heːdi
هاند فري	ˈɛm dˈə fɛˈi
هاندباج	ˈændðˈɛsbˈɛg
هايتي	həˈɪtsiː
هايل	hˈeːl
هايلة	ħaj
هبتدِِدى	ɦbdaidi
هبقى	hɑbɑ
هبوط	xbɔt
هتتجمع	ħatatˤmaː
هتحب	ɦatˤħæb
هتحسن	hetħosn
هتذاكر	ħɑtzeːkɪ̞r
هتروح	hetruːħ
هتروّح	χɑtrɔwɑ
هتسأل	ħatisɛl
هتظيط ؟	hˈɛt zɪt
هتكون	hatkuːn
هتوحشني	ħatawħasnj
هتيح	hatiːħ
هجاص	agos
هدهد	ɦudɦud
هدوم	ˈdɔm
هذاكر	hɒzɒkɾ
هرم	ɦaɾam
هروح	hɑrɔːħhɑrɔːħ
هروّح	hɐɾua
هري	həɾiː
هزار	hizor
هسأل	ħæsˤɑl
هساعد	hɑsˈʔɑ
هسمع	ɦɛsmɑ
هشام ماجد	heʃɛmmɛ gɪ̞dːɪ̞
هعاكس	həˈrɪkɪz
هعكس	haːkiz
هقرر	hæqɦr
هم	ɦɑm
هم هيحسوا	hem meɦaj ħesu
هما	hummˈ
همشي	hemsi
هموت	hemuːt
هنا	hene
هناك	imik
هناكل ايه النهارده	he miː kʰeːn næˈmɑː ˈmɑːrdəm
هندسة	ɦndasa
هندسة تعدين	hɑnda saːdaːʕin
هندسة زراعية	handaːs zɾɑːia
هندسة عسكرية	handəs ʕaʕaskreːj
هندسة كمبيوتر	aːnda se kɔmbiðɔ
هندسة كهرباء	händ̪æˑse̞ kɦɑrɔbɔ
هندسة ميكانيكية	haːndaːsa mɪkˈnɪkˈɪjˈ
هندسة نووية	ħandɑsˈa nˈoːɑhˈija
هندسة وراثية	handˈa sˈavr ˈaseɪjjˈa
هندوراس	aːndħɯ̞rɑs
هندي	hindi
هنروّح	ɦanraːwaː
هنري بولاد	hˈɛnɹi bˈɔləd
هنعمل ايه دلوقتي؟	ʔana məˈli dloʔati
هنوا	hanːu
هنولعها	he̞nwælˈʕæ
هو	hæˈua
هو هيحس	hɒwħiːħas
هوا	aɫ
هولندا	olanda
هولندي	hoˈlɑndzi
هى	ˈeɪɐ
هي هتحس	haja hatˈħas
هيروّح	hajrɔwɑ
هيسأل	ħɑjˈspɛl
هيفا وهبي	hɛjθa wɑhbi
هيكون	hɛjkuːn
هينجح	əjyŋgæ
هَدّى	adtɒ
هَرَم	hˈɐlˈɐm
وأمضت طفولتها في دلتا النيل.	uːomɑt tˤfɔlthu fiː ælˈtˤɛnniː
وإيه	we
واجب	uaːgb
واحد	waːħad
واحد صحبي	waːħad sˈɑħbi
واحد واربعين	waːhad wɑrbaʕiːn
واحد وتسعين	waːħad tˤɪsˈʕiːn
واحد وتلاتين	ɑːhɑd taltiːm
واحد وتمانين	waːħad tˤamniːm
واحد وخمسين	waːħad χamsˈjim
واحد وسبعين	waːħad sˈbæn
واحد وستين	waːhad ʔastˤin
واحد وعشرين	uːaħad uːʕæːrm
واحده ست	wɑhˈdɑ sˈtˤ
وادي	edj
وادي السبوع	wˌɛˈdi səbˈuːa
وادي النطرون	ue diːn ˈnɔtron
واسطة	vˈɑsta
واشنطون	ibɒʃimtˈum
واصل	wasl
واقف	wˈɛf
واقفة	wˈtˈfˈ
واقي	waq
واقِف	wˈeəˈɪf
واكس	wˈɛks
والد	alˈɛd
والدة	waða
والله	vallɑh
وانت من أهل الخير	waːnta mɪn ʔahl ælˈxæir
وبعدين؟!	ɑmbaðiːn
وجعني	waqaʕni
وحش	æˈsˤ
وحشتنا	ɑħʃtˤna
وحشتني	wħdˤaniː
وحشتونا	ɑħʃtˤuːnˈnɑ
وحشتوني	uaħastuːniː
وحشتينا	ɑːsˤiːnɑ
وحشتيني	waħaʃtɪniː
وحق الله يحفظه .. جنود الحق والإيمان	waħq ɑllɑ jɑħfɑzˈz gnoːd ælħq wiaːlʔajmæn
وحوي يا وحوي	ɑħɑwˈjɑwˈħɑwˈj
وخلاصة القول	ɑxlɑsˈt ælˈoːl
ودان	wɪðˈɪn
ودن	oiɯnː
ورا	wɔrɯ
وراك	ʁɑrɑk
ورقة	wɑrɑʔa
ورقة شجر	wɒt ˈaɪ ˈæt ʃˈʌgɚ
ورقه و قلم	ɔraʔah wʔɛlɑ
وريني	ɔllɛnɪ
وز	wˈɪz
وزة	wzˈa
وسخ	wɛsɛx
وسخ [slash] وسخة	wəsax wəsax
وسط	hust
وسط البلد	wˈɪstəl bˈɛrd
وسط الكلام	ʏ̞stʏ̞k kæ̹læm
وش	wɪs
وش (وَش)	wɒʃ
وشوشة	væʃuːaːʃɒ
وشوشني	oːsʃˈvɑsʃnˈ
وشي	wˈɪtʃiː
وصول	osuːl
وطاويط	voatalito
وطني	akestani
وطواط	wˈʌtwˈɑt
وفاة	wafæ
وفيات	wafjˈeːt
وقت	wˈʌt
وقع	ˈeɪ
وقعت بنفسي في حُفْرة	waʔaʕd nafs faħofra
ولا	wɔlɑ
ولاء	ŋɔlɛ
ولاد	wˈɛlˈɛd
ولايات	ulajːɛt
ولاية	ulɛja
ولد	ɑlɑd
ولدت في قرية مصرية صغيرة عام ١٩٠٤، وأمضت طفولتها في دلتا النيل.	uaːldaːt fiː qɑrˈjɑ masˈaða sˈɣːaðˤa ʕan ʕaŋgɑr ʔaɾl ʔaɾaː wʔamd al-tafrɑ taʕfiːd alniː
ولية	wljˈja
ومن جراء ذلك	wɑmɪ̞n gʊ̞rɾɑ ðäjɪ̞ɫɪ̞k
ويكيپيديا	wikipˈidi
وَاحـِشني	waːħɪsnʲ
وِحشة	ɑːlħæʃa
وِحِش	waħɑs
وِحْدة	ˈwaħada
وِحْدَةْ	ʔahd
وِزارة الخارِجيّة	ɒzɒɾtil xɒɾˈgɒjˈɒ
وِشّ	wˈɪʃ
يا	jˈæ
يا بوليس !	ʝˈa bʊɫɪs
يا حوستي	ja hɑwˈsˈti
يا خراشي	jɑʃɑrɑʃi
يا سلام	jɑ sɑlɑm
يا عم مش هنقولك	jaː ʕamme maːʃ hæn ɑdˈlɑk
يا فرحة أمك بيكي	jˈafar hˈatˈoːm mɪdbeːt
يا نهار	jɑnɑːr
ياباني	jabeni
ياسطى	astɑ
ياسمين	jasmiːn
ياض	jˈɔd
يافطة	jafˈtˈa
ياقة	jˈæ
ياكل	jakal
يالهوي	jalahui
يالّا	jɑmˈɫo
ياما	jɛma
يبرطم	ɛbɑrtɯm
يبقى	ibʁa
يتجمع	jdkmajdkmɑ
يتشعبط	etʃaɾbɯt
يتعود	jatˈʕoːd
يتفرج	jɪ̞tfɑrɯ̞ŋ
يتفسّح	ʲtsfæsæ
يتمرجح	njˈɛtmˈɛrgɑh
يتني	jestani
يتوغوش	etwɑɣwɯʃ
يتيم	jætɪm
يتيمة	jˈɛʃiːma
يتْصرّف	ɪtsɔrɔv
يجبرنا	jʏ̞zbʏ̞rɫnʏ̞
يجنن	jægɛnnɪ̞n
يجوع	jɛːgwa
يحرق	jæħrɑ
يحرق دمنا	jɑħɾɑ dˈmɪnˈmɪ
يحضّر	jɑħɑtˤar
يحمر	neæmr
يحوّش	jæhɑuːis
يحيط	juhajit
يخرس	jæxrɑs
يخمن	nˈelˈimɑn
يد	it
يدري	dʒoːrɛ
يدلع	id̪ʁ
يدور	jidoˈvor
يدور (يِدُور)	ʲidur
يدّي	edˈdi
يرحمك الله	jæɾham kɛm eːllɑh
يركن	jærkæn
يروح	jeroːx
يسافر	isefɛr
يستاهلو	jastɑħl
يستفندي	jʊsˈtɑfɑnˈdi
يسفي	jusvi
يسكت	jˈɛskˈut
يسمع	jɪsma
يسمعوا	tutsmau
يسوق	isˈu
يشاركوا	iʃaɾkʊ
يشتروا	iʃtɪrʊ
يشتري	jæʃtæɾiː
يشرب	jeʃrɔb
يشوط	tʃuːt
يشوف	jʃuv
يشْرح	jɛ˥˩ʂua˥˩
يصحى	ʲːs˥ːaː
يصدّر	jsatˈd̪ar
يصلّح	ɑsˈlaħ
يضرب	jædrɔb
يطفّي	ilestˈɔfˈi
يعاكس	jɑːkæz
يعتقد	ɪɑːtˤɑxˈd
يعدّي	ʕ
يعرفو	ɪɑːrɑːf
يعقم	ɑqˈqɑ
يعقوب	jaquːljɑquːl
يعكس	jˈæˈʌkˈɪdd
يعنى	jaːni
يعيط	naːtˤ
يغمى عليه	jʁm ʕaliː
يفتح	ifteç
يفهمها	jˈvamha
يفْتِكِر	jɪ̞ftɛgɪ̞r
يقبل	jæbæl
يقرا	ɛra
يقع	joʊ�i˥˩
يقفل	jɑfɑ
يقوم	jɛm
يقوموا	ium
يقوي	dʒoia
يكتشف	jiktɪ̞ʃɪ̞w
يكح	ʲkɔ
يكسر صيامه	ik sarsɪjoːmu
يكون	jakuːn
يلا	jallɑ
يلا باي	jɑlːabu
يلاقي	jælʲiː
يلحق	jælħɑʔ
يلخبط	ɪ̞ɾɪ̞hqɪ̞
يلسع	jəlsɑ
يلطش	jʊ̞ɫtʊ̞ʂnʲilætdɑʂ
يلطش (يُلْطُش)	joltɔs
يلطش (يِلَطَّش)	jɯ̞ɫɑt tɑʂ
يلغوا	jlɣu
يلغي	jægɫˈɕi
يمكن	jˈɪmkɪn
يمين	iz
ينام	jeˈnim
يناير	jænɛejiɾ
ينسون	jæntsʊn
ينشر	jʊ̞nʑhʊ̞r
ينشّف	ɪˈnæsʃef
ينضف	jɪ̞ndːɑfjɪlnäntːɑf
ينظف	janodaf
ينفع	jɛnfa
يوسخ	iwsq
يوسف	jʊsɪf
يوغوسلافيا	juʁoslovʲiɑ
يوليه	jʊlia
يوليو	iu˨˩ljiu˨˩˦
يوم	jˈoːm
يوناني	ju˥˩ne˥˩˦ni˥˩
يونس	ioˈnes
يونيفورم	ˈunəfˌɔɹm
يونيه	jɔnɪə
يونيو	iˈuˈnjɪu
يووه بقا	joːbɑa
يوْصل	jɛ̀u̯sɑl
ييجى	jˈeɣi
ييجي	ig
يَعْني إِيه	jaːniː iː
يَعْني إِيه ...؟	jaʁnˈiː iː
يُغمى	eɣmæ
يِتْجَمَّع	jət̪gãmˈmɑq
يِتْكَلِّموا	jatkaːlim
يِتْكَلِّموا	jækːælæm
يِرْضَى	jɛrˈdɑ
يِشُوف	iʃuf
يِعَيَّط	jˈɑːjjɑːt
يِمْكِن	kəŋˈkæn
يِنْضَف	jɪndɔf
ْكَتَبِت	katabitˈtˈ
چاكيت [slash] جاكت	akˈɪt
چيبة [slash] جيبة	gˈiba
کنیة	kwnja
‏يا خساره	jaqsɑrɑ
‫بوتاجازات	butʃuʃtʃgɛzɛt
ﺍﻟﻘﺮﺍﻓـة	ælˈʔafː
